New technology meets the New Testament (CBS News),http://news.feedzilla.com/en_us/stories/science/412492978?client_source=api&format=json,"Known by many as ""the Good Book,"" the Bible can now also be called ""the small
book"" - thanks to high-tech scholars

"
Santa Traditions Around the World (Scientific American),http://news.feedzilla.com/en_us/stories/science/411883082?client_source=api&format=json,"Earlier this week, I shared a link on Twitter to a piece on Brain Pickings on
how anthropologist Margaret Mead suggested we talk to children about Santa
Claus: Belief in Santa Claus becomes a problem...


-- Read more on ScientificAmerican.com

"
"School Defied Google and US Government, Let Boys Program White House Xmas Trees",http://slashdot.org/story/14/12/28/2151253/school-defied-google-and-us-government-let-boys-program-white-house-xmas-trees,sexist-not-to-select-by-sex
Scientists measure speedy electrons in silicon (chemie.de),http://news.feedzilla.com/en_us/stories/science/411572413?client_source=api&format=json,"
The entire semiconductor industry, not to mention Silicon Valley, is built on
the propensity of electrons in silicon to get kicked out of their atomic
shells and become free. These mobile electrons are routed and switched though
transistors, carrying the digital information that characterizes our ag...

"
Snowden Documents Show How Well NSA Codebreakers Can Pry,http://slashdot.org/story/14/12/28/2054228/snowden-documents-show-how-well-nsa-codebreakers-can-pry,keeping-you-well-under-surveillance
"Sony Accused of Pirating Music In ""The Interview""",http://slashdot.org/story/14/12/28/1429217/sony-accused-of-pirating-music-in-the-interview,such-a-loaded-term
Sony Hack Reveals MPAA's Big '$80 Million' Settlement With Hotfile Was a Lie,http://slashdot.org/story/14/12/28/2331219/sony-hack-reveals-mpaas-big-80-million-settlement-with-hotfile-was-a-lie,4-80-whattsa-difference?
"Sony PlayStation Network Back Up Now, Supposedly",http://slashdot.org/story/14/12/28/1717257/sony-playstation-network-back-up-now-supposedly,nothing's-perfect
Succulent Science: The Role of Fats in Making a Perfect Pastry (Scientific American),http://news.feedzilla.com/en_us/stories/science/412002340?client_source=api&format=json,"A tasty food science task from Science Buddies


-- Read more on ScientificAmerican.com

"
Test Predicts Response to Treatment for Complication of Leukemia Stem Cell Treatment (bioethicscom),http://news.feedzilla.com/en_us/stories/science/412178542?client_source=api&format=json,"(Eurekalert) - A new test may reveal which patients will respond to treatment
for graft versus host disease (GVHD), an often life-threatening complication
of stem cell transplants (SCT) used to treat leukemia and other blood
disorders, according to a study … Read More

"
Trees vs. Atmospheric Carbon: A Fight That Makes Sense? ,http://slashdot.org/story/14/12/29/0237259/trees-vs-atmospheric-carbon-a-fight-that-makes-sense,just-don't-use-spreading-bamboo
Twitter Bug Locks Out Many Users ,http://slashdot.org/story/14/12/29/0418246/twitter-bug-locks-out-many-users,confine-comments-to-140-chars-in-solidarity
University Of Utah Concludes Investigation Of Controversial 'Nanochopsticks' (pubs.acs),http://news.feedzilla.com/en_us/stories/science/411553009?client_source=api&format=json,"Misconduct: Former student solely responsible for manipulated images,
committee finds

"
Water Source for Almonds in California May Run Dry (New York Times),http://news.feedzilla.com/en_us/stories/science/412320574?client_source=api&format=json,"The business of growing almonds has thrived in California despite drought
because of a federally controlled project that allowed for Sacramento River
water flows, but the law requires that that source nurture salmon instead
during scarcity.

"
What Northern Hemisphere Astronomers Are Missing From the Southern Hemisphere,http://slashdot.org/story/14/12/29/0019247/what-northern-hemisphere-astronomers-are-missing-from-the-southern-hemisphere,sense-of-restraint-and-decorum
